"Battle of Wilno","https://en.wikipedia.org/wiki/Battle_of_Wilno_(1939)","Coordinates: 54°40′N 25°19′E﻿ / ﻿54.667°N 25.317°E﻿ / 54.667; 25.317","18–19 September 1939"
"Battle of Grodno","https://en.wikipedia.org/wiki/Battle_of_Grodno_(1939)","Coordinates: 53°40′00″N 23°50′00″E﻿ / ﻿53.666667°N 23.833333°E﻿ / 53.666667; 23.833333","September 20–24, 1939"
"Battle of Wytyczno","https://en.wikipedia.org/wiki/Battle_of_Wytyczno","Coordinates: 51°26′00″N 23°16′00″E﻿ / ﻿51.433333°N 23.266667°E﻿ / 51.433333; 23.266667","October 1, 1939"
"Battle of Szack","https://en.wikipedia.org/wiki/Battle_of_Szack","Coordinates: 51°29′16″N 23°55′47″E﻿ / ﻿51.487778°N 23.929722°E﻿ / 51.487778; 23.929722","September 28, 1939"
